evolution$generation,evolution$evaluated,macroGravityDecay,macroInnovationDecay,mesoCrossOverProba,mesoMutationProba,mesoInteractionProba,mesoToMacroInnovationThreshold,macroToMesoCrossoverMaxUpdate,macroToMesoMutationMaxUpdate,macroToMesoExchangeMaxUpdate,objective$macroUtility,objective$mesoDiversity,mesoInteractionProba,mesoToMacroInnovationThreshold,macroToMesoCrossoverMaxUpdate,mesoCrossOverProba,macroGravityDecay,mesoDiversity,macroToMesoExchangeMaxUpdate,macroInnovationDecay,macroToMesoMutationMaxUpdate,mesoMutationProba,macroUtility
10000,10000,0.6858005045695679,0.8196700580541091,0.23176784088407038,0.0010071917583664113,1.0E-6,1.131988073217376,7.162346735447493E-4,-5.94119191376849E-5,6.975900465656155E-8,-3.490089032304537,-0.36318206774047673,1.0E-6,1.131988073217376,7.162346735447493E-4,0.23176784088407038,0.6858005045695679,-0.36318206774047673,6.975900465656155E-8,0.8196700580541091,-5.94119191376849E-5,0.0010071917583664113,-3.490089032304537
10000,10000,0.19153574683284785,0.37945016552270494,0.286265576347949,0.0011782479548685042,1.0E-6,1.4970319912104233,3.969835867273126E-4,1.0E-4,-2.404511551304658E-8,-0.4999895706688374,-0.37337308891971716,1.0E-6,1.4970319912104233,3.969835867273126E-4,0.286265576347949,0.19153574683284785,-0.37337308891971716,-2.404511551304658E-8,0.37945016552270494,1.0E-4,0.0011782479548685042,-0.4999895706688374
10000,10000,0.33281149907082597,0.42790497598025223,0.42561734206962487,0.0011463760594348,2.5776162116724757E-6,1.5594915331574248,-9.973335245370579E-4,-3.767937147459806E-6,1.0E-7,-2.3389802683016616,-0.3658513250990533,2.5776162116724757E-6,1.5594915331574248,-9.973335245370579E-4,0.42561734206962487,0.33281149907082597,-0.3658513250990533,1.0E-7,0.42790497598025223,-3.767937147459806E-6,0.0011463760594348,-2.3389802683016616
10000,10000,0.5386795220757997,0.683588071216207,0.4474095328879072,0.0010532329832510566,2.5853945714918963E-6,1.7230020260904908,6.250926545532417E-4,1.0E-4,5.853747258526465E-8,-3.15691097489068,-0.3640030133155195,2.5853945714918963E-6,1.7230020260904908,6.250926545532417E-4,0.4474095328879072,0.5386795220757997,-0.3640030133155195,5.853747258526465E-8,0.683588071216207,1.0E-4,0.0010532329832510566,-3.15691097489068
10000,10000,0.6171734257929846,0.46988848713594844,0.31393916038930325,0.0010059864379005888,2.604547939255779E-6,1.6755757500108737,7.548663398367766E-5,5.791764615086523E-6,1.9283521567482652E-8,-1.4904480482369362,-0.36765003461967666,2.604547939255779E-6,1.6755757500108737,7.548663398367766E-5,0.31393916038930325,0.6171734257929846,-0.36765003461967666,1.9283521567482652E-8,0.46988848713594844,5.791764615086523E-6,0.0010059864379005888,-1.4904480482369362
10000,10000,0.1,0.1,0.23162053407969016,0.0010018311092046138,1.6026167719672139E-6,1.7946159351626072,-5.868811569024543E-4,1.0E-4,-2.503784681228326E-8,-1.5186895914282643,-0.3667774203085944,1.6026167719672139E-6,1.7946159351626072,-5.868811569024543E-4,0.23162053407969016,0.1,-0.3667774203085944,-2.503784681228326E-8,0.1,1.0E-4,0.0010018311092046138,-1.5186895914282643
10000,10000,0.491258949395042,0.41939387587007526,0.3258559773647881,0.0016705302536041255,2.1458964761845566E-6,1.5459800239519237,5.584586923926228E-6,3.5601236864429777E-6,4.5625500107000935E-8,-1.165673529680713,-0.3681948554575674,2.1458964761845566E-6,1.5459800239519237,5.584586923926228E-6,0.3258559773647881,0.491258949395042,-0.3681948554575674,4.5625500107000935E-8,0.41939387587007526,3.5601236864429777E-6,0.0016705302536041255,-1.165673529680713
10000,10000,0.12014415885441304,0.6964417952632223,0.30331529472581104,0.001,2.819441371001979E-6,1.687037797659837,3.57733898257251E-5,4.3037854122305395E-5,-1.0E-7,-1.1600353161473436,-0.36856887630716034,2.819441371001979E-6,1.687037797659837,3.57733898257251E-5,0.30331529472581104,0.12014415885441304,-0.36856887630716034,-1.0E-7,0.6964417952632223,4.3037854122305395E-5,0.001,-1.1600353161473436
10000,10000,0.23452633595502417,0.17945789841914328,0.24179796640940282,0.0010460111679087417,1.202576797172537E-6,1.9786459538032202,-6.268064235447358E-4,9.982466986052604E-5,-3.191460941534463E-8,-1.0000000000000004,-0.37230787879607785,1.202576797172537E-6,1.9786459538032202,-6.268064235447358E-4,0.24179796640940282,0.23452633595502417,-0.37230787879607785,-3.191460941534463E-8,0.17945789841914328,9.982466986052604E-5,0.0010460111679087417,-1.0000000000000004
10000,10000,0.43061342916805334,0.509238433868025,0.474793549787142,0.0010731602211820597,3.2949814002970054E-6,1.6023523301492677,9.299196838670313E-4,-9.28412842202425E-5,-4.595060303003955E-8,-1.0000000000000007,-0.37119150633033776,3.2949814002970054E-6,1.6023523301492677,9.299196838670313E-4,0.474793549787142,0.43061342916805334,-0.37119150633033776,-4.595060303003955E-8,0.509238433868025,-9.28412842202425E-5,0.0010731602211820597,-1.0000000000000007
